source,target,repository,weight,forks,issues,size,languages
michaelliao,dhg,"bootstrap",40,32,0,23445,"CSS"
michaelliao,btholt,"bootstrap",40,32,0,23445,"CSS"
michaelliao,tommy351,"bootstrap",40,32,0,23445,"CSS"
michaelliao,sevilayha,"bootstrap",40,32,0,23445,"CSS"
michaelliao,rodrigobranas,"bootstrap",40,32,0,23445,"CSS"
michaelliao,jhusain,"bootstrap",40,32,0,23445,"CSS"
michaelliao,litten,"bootstrap",40,32,0,23445,"CSS"
michaelliao,juliangarnier,"bootstrap",40,32,0,23445,"CSS"
michaelliao,gavinkwoe,"bootstrap",40,32,0,23445,"CSS"
michaelliao,krasimir,"bootstrap",40,32,0,23445,"CSS"
michaelliao,JacksonTian,"compiler",130,82,3,10,"Java"
michaelliao,ekmett,"compiler",130,82,3,10,"Java"
michaelliao,cloudhead,"cryptocurrency",705,329,1,1500,"JavaScript"
michaelliao,rnystrom,"JASidePanels",1,3,0,1122,"Objective-C"
mojombo,maryrosecook,"asteroids",97,12,3,185,"JavaScript"
mojombo,benbalter,"benbalter.github.com",4,6,0,20836,"CSS"
mojombo,tenderlove,"bert",185,56,12,186,"Ruby"
mojombo,vmg,"bert",185,56,12,186,"Ruby"
mojombo,rakyll,"bower",5,3,0,333,"JavaScript"
mojombo,NARKOZ,"bower",5,3,0,333,"JavaScript"
mojombo,ryanflorence,"bower",5,3,0,333,"JavaScript"
mojombo,tylermcginnis,"bower",5,3,0,333,"JavaScript"
mojombo,schacon,"chronic,clippy",3835,588,154,920,"Ruby,null"
mojombo,radar,"chronic",2875,407,129,681,"Ruby"
mojombo,TooTallNate,"clippy",960,181,25,239,"null"
mojombo,jinzhu,"clippy",960,181,25,239,"null"
mojombo,sebastianbergmann,"git",11,6,0,15879,"C"
mojombo,gitster,"git",11,6,0,15879,"C"
mojombo,iliakan,"git",11,6,0,15879,"C"
mojombo,leichunfeng,"git",11,6,0,15879,"C"
mojombo,BYVoid,"homebrew",11,0,0,5795,"Ruby"
mojombo,rs,"homebrew",11,0,0,5795,"Ruby"
mojombo,tianyicui,"homebrew",11,0,0,5795,"Ruby"
mojombo,jgm,"homebrew",11,0,0,5795,"Ruby"
daimajia,phodal,"android",4,0,0,1310,"null"
daimajia,koush,"android",4,0,0,1310,"null"
daimajia,lzyzsd,"android",4,0,0,1310,"null"
daimajia,ZhaoKaiQiang,"android,AndroidSwipeLayout",10160,2506,330,1709,"null,Java"
daimajia,baoyongzhang,"Android-Ganhuo,AndroidImageSlider",5062,1639,280,2295,"Java"
daimajia,akira-cn,"AndroidImageSlider",5051,1630,280,2165,"Java"
daimajia,liaohuqiu,"AndroidSwipeLayout",10156,2506,330,399,"Java"
daimajia,xiyouMc,"AndroidSwipeLayout",10156,2506,330,399,"Java"
daimajia,mariotaku,"AndroidViewAnimations",9568,2083,45,288,"Java"
daimajia,android-cjj,"ComicReader",28,15,0,16307,"Java"
daimajia,samdark,"dictionary",4,5,0,112,"null"
daimajia,kyze8439690,"fmpro",1,2,0,1939,"null"
daimajia,drakeet,"kotlin-web-site-cn",6,1,0,11050,"JavaScript"
defunkt,creationix,"ace",11,5,0,4405,"JavaScript"
defunkt,maccman,"ace",11,5,0,4405,"JavaScript"
defunkt,nikic,"ace",11,5,0,4405,"JavaScript"
defunkt,evanw,"ace",11,5,0,4405,"JavaScript"
defunkt,mikermcneil,"ace",11,5,0,4405,"JavaScript"
defunkt,bkeepers,"ace",11,5,0,4405,"JavaScript"
defunkt,jinzhu,"cheat",232,41,3,235,"Ruby"
defunkt,chyyuu,"cheat",232,41,3,235,"Ruby"
defunkt,madrobby,"cijoe",1060,135,18,425,"Ruby"
defunkt,tmm1,"cijoe",1060,135,18,425,"Ruby"
defunkt,jakevdp,"d3",3,1,0,34521,"JavaScript"
defunkt,sokra,"d3",3,1,0,34521,"JavaScript"
defunkt,planetoftheweb,"d3",3,1,0,34521,"JavaScript"
defunkt,sebmarkbage,"d3",3,1,0,34521,"JavaScript"
defunkt,alexjlockwood,"d3",3,1,0,34521,"JavaScript"
defunkt,JsAaron,"d3",3,1,0,34521,"JavaScript"
defunkt,Caged,"d3",3,1,0,34521,"JavaScript"
defunkt,ahmetb,"d3",3,1,0,34521,"JavaScript"
defunkt,mjackson,"dotenv",5,3,0,75,"Ruby"
defunkt,skywind3000,"emacs",188,46,0,1705,"Emacs Lisp"
llSourcell,hehonghui,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,i5ting,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,steipete,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,ashfurrow,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,casatwy,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,orta,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,bang590,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,tmm1,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,xinyu198736,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,modocache,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,paulcbetts,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,c9s,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,skyline75489,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,jverkoey,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,yulingtianxia,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,robb,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,icanzilb,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,leichunfeng,"AFNetworking",1,0,0,4710,"Objective-C"
llSourcell,supermarin,"AFNetworking",1,0,0,4710,"Objective-C"
mbostock,gorhill,"Javascript-Voronoi",7,6,0,302,"JavaScript"
karpathy,kylemcdonald,"arxiv-sanity-preserver,char-rnn",10185,2654,157,14374,"Python,Lua"
karpathy,shiffman,"char-rnn",8095,2028,101,13412,"Lua"
karpathy,josephmisiti,"char-rnn",8095,2028,101,13412,"Lua"
karpathy,hardmaru,"convnetjs",9149,1818,63,27806,"JavaScript"
karpathy,geeeeeeeeek,"examples",6,2,0,39721,"Python"
karpathy,petewarden,"examples",6,2,0,39721,"Python"
JacksonTian,hadley,"500lines",1,1,0,7427,"Python"
JacksonTian,gvanrossum,"500lines",1,1,0,7427,"Python"
JacksonTian,jvns,"500lines",1,1,0,7427,"Python"
JacksonTian,audreyt,"500lines",1,1,0,7427,"Python"
JacksonTian,xinyu198736,"ali-oss",1,0,0,434,"JavaScript"
JacksonTian,fool2fish,"ali-oss",1,0,0,434,"JavaScript"
JacksonTian,dead-horse,"bagpipe,co,connect-render",189,35,4,537,"JavaScript"
JacksonTian,nelsonic,"blanket",1,0,0,2329,"JavaScript"
JacksonTian,benoitc,"blanket",1,0,0,2329,"JavaScript"
JacksonTian,gabrielpconceicao,"browser",1,1,0,112,"Objective-C"
JacksonTian,fnando,"browser",1,1,0,112,"Objective-C"
JacksonTian,joyeecheung,"cachex",1,1,0,15,"JavaScript"
JacksonTian,hax,"clean-css",1,0,0,1265,"CSS"
JacksonTian,island205,"clean-css",1,0,0,1265,"CSS"
JacksonTian,mitchellh,"cli",1,0,0,211,"null"
JacksonTian,AdamBien,"cli",1,0,0,211,"null"
JacksonTian,ryanseys,"cli",1,0,0,211,"null"
JacksonTian,ericelliott,"co",2,0,0,224,"JavaScript"
JacksonTian,sahat,"co",2,0,0,224,"JavaScript"
JacksonTian,rsms,"co",2,0,0,224,"JavaScript"
JacksonTian,iliakan,"co",2,0,0,224,"JavaScript"
JacksonTian,leeluolee,"co",2,0,0,224,"JavaScript"
JacksonTian,benjamn,"co",2,0,0,224,"JavaScript"
JacksonTian,ekmett,"compiler",37,4,0,36,"JavaScript"
JacksonTian,felixge,"connect",1,0,0,5814,"JavaScript"
JacksonTian,azat-co,"connect",1,0,0,5814,"JavaScript"
getify,chriscoyier,"cdnjs",2,1,0,5576380,"null"
getify,remy,"cdnjs",2,1,0,5576380,"null"
getify,ericelliott,"cdnjs",2,1,0,5576380,"null"
getify,sahat,"cdnjs",2,1,0,5576380,"null"
getify,kangax,"cdnjs",2,1,0,5576380,"null"
getify,zpao,"cdnjs",2,1,0,5576380,"null"
getify,phuslu,"cdnjs",2,1,0,5576380,"null"
getify,soulwire,"cdnjs",2,1,0,5576380,"null"
getify,ljharb,"cdnjs",2,1,0,5576380,"null"
